Customer_ID,Peak_mins,OffPeak_mins,Weekend_mins,International_mins,Total_mins,Average_mins
K107120,466.2,162.3,127.8,246.486588,756.3,3.086939
K107320,470.400001,219.599999,19.8,214.404137,709.8,4.43625
K107380,672.6,224.7,66,287.455687,963.3,2.508594
K107520,352.8,232.8,69.6,207.796199,655.2,3.9
K107730,433.200001,311.699999,70.200001,217.430946,815.100001,3.326939
K107890,514.2,270,100.2,184.283329,884.4,2.781132
K108030,596.4,252.900001,92.500002,256.131864,941.800003,8.484685
K108050,692.4,203.699999,66.5,190.496108,962.599999,2.726912
K108140,504,237.300001,39,183.03199,780.300001,2.430841
K108160,758.400001,102,54,210.877379,914.400001,8.388991
K108190,651,315,17,310.243044,983,3.024615
K108270,504,242.1,43,255.539368,789.1,3.812077
K108350,624,234.6,61.2,213.614125,919.8,6.523404
K108410,629.400001,206.699999,61.2,182.435025,897.3,6.455396
K108420,699.599999,229.499999,6.6,195.858966,935.699998,9.954255
K108520,434.4,186,79.8,202.915254,700.2,4.118824
K108560,553.2,286.5,76,208.004776,915.7,4.844974
K108620,502.200001,378.600001,48.600001,286.053646,929.400003,2.904375
K108670,783.6,61.799999,90.6,225.775472,935.999999,4.235294
K108690,555.6,393.900001,32,286.866568,981.500001,4.072614
K108770,394.2,309.9,77.399999,190.129574,781.499999,3.793689
K108940,619.8,62.1,25.8,188.603039,707.7,10.11
K109230,447,392.7,2.4,230.035164,842.1,31.188889
K109780,469.8,437.4,21,183.837818,928.2,13.853731
K109990,534.6,117,29,190.531461,680.6,27.224
K110000,553.199999,277.199999,107.4,234.077079,937.799998,11.436585
K110060,409.800001,236.699999,50,189.476209,696.5,4.002874
K110070,502.800001,344.7,20.399999,193.860312,867.9,3.677542
K110210,551.4,277.8,133,270.081432,962.2,3.658555
K110280,670.800001,246,43.5,208.677529,960.300001,4.487383
K110710,417.6,322.8,12,190.521126,752.4,4.823077
K110730,464.399999,307.5,42,183.847523,813.899999,7.332432
K110810,898.799999,771.9,49,512.99721,1719.699999,2.385159
K110830,1602.6,90,44.4,208.137839,1737,1.688047
K110840,557.4,409.200001,61.799999,275.085583,1028.4,2.623469
K110870,1242,175.8,100.500001,218.70687,1518.300001,1.794681
K110900,664.200001,389.099999,136.500001,336.638952,1189.800001,3.979264
K110950,2376,418.200001,49.799999,514.271267,2844,2.230588
K110970,1743,309,67,268.124279,2119,1.707494
K110980,1315.8,135.899999,61.2,486.336382,1512.899999,2.086759
K111000,1341.600001,38.700001,75,230.32664,1455.300002,1.66701
K111200,1023,444.300001,66,372.307718,1533.300001,1.585626
K111260,2221.8,411.9,32,646.814,2665.7,2.468241
K111340,1398.6,171,30.6,460.589198,1600.2,1.693333
K111430,1713,883.8,87,203.689542,2683.8,2.113228
K111440,1009.799999,288,23.4,202.609671,1321.199999,2.103822
K111520,687,441.299999,56,227.869411,1184.299999,2.397368
K111680,1992.6,21.3,41.4,393.801301,2055.3,1.708479
K111720,853.8,493.2,72.6,399.642506,1419.6,2.04259
K111740,1330.8,47.7,42.6,267.563809,1421.1,2.108457
K111780,856.199999,211.199999,79.800001,350.917092,1147.199999,2.771014
K111900,874.799999,60,93,244.906669,1027.799999,1.806327
K112210,854.4,300.6,18,326.451441,1173,2.490446
K112450,654.599999,531.300001,19.8,245.793243,1205.7,1.794196
K112640,1752,457.199999,29.4,728.367215,2238.599999,1.684424
K112770,1933.8,337.8,87,482.55625,2358.6,1.841218
K112960,1051.8,55.8,43.2,238.344401,1150.8,1.672674
K112970,2187.6,115.199999,23.499999,547.006176,2326.299998,2.107156
K113010,1131.6,161.1,27.6,236.950237,1320.3,1.985414
K113130,879.599999,298.800001,15,188.984751,1193.4,1.91557
K113200,1143,470.7,100.2,381.051016,1713.9,2.351029
K113260,918,224.4,37,318.611849,1179.4,2.416803
K113490,1132.2,440.4,45.6,208.341707,1618.2,2.493374
K113560,2370.600001,277.2,7.8,674.264704,2655.600001,1.848017
K113580,1982.4,390,66.6,595.270229,2439,1.920472
K113670,648,489.3,18,365.308843,1155.3,2.442495
K113710,990.599999,39.599999,15,212.168551,1045.199998,1.849912
K113840,1132.799999,434.1,84,222.477758,1650.899999,2.135705
K113930,2366.4,174.3,185.4,892.557103,2726.1,2.161856
K114040,778.2,403.499999,73,334.291517,1254.699999,2.340858
K114060,1440,38.4,77.4,354.800104,1555.8,1.738324
K114130,908.400001,263.100001,131.400001,215.444319,1302.900003,2.326607
K114170,1564.8,337.8,92.4,193.68573,1995,1.987052
K114350,1599.599999,28.8,43.2,427.857222,1671.599999,1.783991
K114390,943.199999,388.800001,31.199999,258.831604,1363.199999,1.805563
K114480,1005,497.100001,2,482.553214,1504.100001,1.997477
K114530,1748.399999,602.700002,38.399999,295.781846,2389.5,2.712259
K114730,760.8,618,28,356.609439,1406.8,2.567153
K114820,984.6,186,28,186.681388,1198.6,2.359449
K114850,777,701.100001,25,351.789253,1503.100001,1.585549
K114920,685.199999,450.6,45.6,221.635855,1181.399999,2.083598
K114970,606,469.2,18.600001,344.474742,1093.800001,2.797442
K115140,1614,469.800001,50.5,309.825559,2134.300001,2.282674
K115190,913.2,178.2,6.6,281.184494,1098,2.366379
K115200,698.399999,532.8,72.600001,333.835191,1303.8,2.521857
K115210,936,430.5,17,359.077086,1383.5,2.309683
K115290,856.199999,481.199999,105,310.084087,1442.399998,1.920639
K115500,2239.8,153,82.2,281.937903,2475,2.227723
K115680,1767,366.3,69.6,593.199752,2202.9,2.397062
K115720,1095.6,546.3,23,510.583219,1664.9,2.237769
K115730,1317,73.200001,46,239.526157,1436.200001,1.677804
K115810,873.6,418.799999,89.499999,265.889336,1381.899998,2.318624
K115890,792.599999,443.400001,121.199999,221.033442,1357.199999,2.24702
K115990,724.8,400.2,97.5,326.450815,1222.5,2.747191
K116110,1800.6,99.6,109.2,383.488582,2009.4,2.299085
K116250,1661.4,505.2,13,628.698227,2179.6,2.516859
K116420,1146,614.4,65.5,330.72322,1825.9,1.919979
K116500,870,178.5,27.6,257.846005,1076.1,1.952995
K116610,691.199999,550.199999,44.399999,247.02359,1285.799997,2.87651
K116650,686.399999,487.8,85.2,385.47856,1259.399999,1.99588
K116690,1408.799998,24.3,38.5,214.099005,1471.599998,1.81455
K116770,963.599999,342,60.5,284.628418,1366.099999,1.76271
K116810,1657.2,57.3,30,241.293549,1744.5,2.265584
K117010,1248,36.599999,124.8,248.484013,1409.399999,1.77283
K117160,1633.799999,186.899999,31.500001,370.518572,1852.199999,1.962076
K117280,1428,201.900001,61.799999,348.208207,1691.7,2.455298
K117550,1104.6,147.300001,70.8,337.262463,1322.700001,2.27268
K117780,589.199999,454.199999,41,333.574039,1084.399998,2.065524
K118090,1024.800001,262.199999,24,301.191916,1311,2.210793
K118110,600,427.2,77.4,238.36541,1104.6,2.015693
K118430,1402.8,458.4,94.8,237.728588,1956,2.006154
K118500,1246.199999,71.7,71.5,366.849543,1389.399999,1.864966
K118570,1692.599999,275.1,45,467.023549,2012.699999,2.541288
K118580,763.800001,409.800001,68,233.292732,1241.600002,2.009061
K118740,1202.399999,211.800001,103.500001,379.23417,1517.700001,2.228634
K118770,798,202.8,42.6,227.376534,1043.4,2.014286
K118780,1416,88.800001,137.4,357.402543,1642.200001,1.698242
K118810,1030.2,210.300001,66,358.670912,1306.500001,1.964662
K118940,923.4,289.500001,114.6,239.004932,1327.500001,2.227349
K119010,1299,486,74.500001,497.227063,1859.500001,2.433901
K119050,1398.6,182.100001,38,399.483028,1618.700001,1.693201
K119150,1410,332.1,71.4,496.669484,1813.5,2.138561
K119220,1471.2,428.7,35,226.804387,1934.9,3.171967
K119230,1557.599999,115.800001,115.2,585.806757,1788.6,2.529844
K119300,809.4,237,161.4,313.475779,1207.8,1.954369
K119460,960,424.2,5,345.418107,1389.2,2.208585
K119520,1232.400001,548.7,20.400001,525.424213,1801.500002,2.063574
K119610,1444.8,378.9,4.8,530.168462,1828.5,1.696197
K119650,1989,386.400001,75,718.655125,2450.400001,1.708787
K119660,1416,482.1,33.6,614.037952,1931.7,2.168013
K119830,1244.399999,518.399999,160.8,362.173826,1923.599998,2.849778
K119840,888.6,103.8,66.6,339.636591,1059,1.688995
K120060,879.600001,87.9,52,302.008392,1019.500001,1.725042
K120070,979.2,249.3,65.399999,404.677916,1293.899999,2.204259
K120140,636.6,393.6,25.2,235.444268,1055.4,1.915426
K120230,840,435.899999,41.4,313.756763,1317.299999,2.876201
K120240,1401,299.7,63.600001,336.641505,1764.300001,2.440249
K120320,1201.8,306.6,21,422.12742,1529.4,2.226201
K120420,883.2,370.2,33,311.22903,1286.4,3.041135
K120460,1823.399999,442.500001,60.6,524.725073,2326.5,1.91324
K120540,862.800001,437.7,38.399999,314.006407,1338.9,2.732449
K120600,1405.8,608.4,62.500002,358.310132,2076.700002,2.920816
K120650,2068.799999,359.400001,78.599999,180.561389,2506.799999,1.900531
K120720,666,539.4,16.799999,239.334414,1222.199999,2.354913
K120760,1455.6,8.7,103.800001,326.052704,1568.100001,1.621613
K120840,919.8,482.400001,52.2,402.511093,1454.400001,2.460914
K121210,993.600001,707.700001,32.4,232.117196,1733.700002,1.742412
K121270,891.6,42.899999,85.2,186.402044,1019.699999,1.639389
K121440,866.399999,261.3,115.8,181.727391,1243.499999,1.689538
K121540,1146.6,298.2,133.2,314.395562,1578,2.372932
K121740,1552.199999,394.499999,47.4,554.184776,1994.099998,1.698552
K121760,910.2,389.1,75,191.334167,1374.3,2.887185
K121890,1511.4,560.7,100.8,315.932245,2172.9,2.997103
K121970,1166.4,232.800001,139.500001,265.624034,1538.700002,2.381889
K122010,1210.2,58.5,39,194.086114,1307.7,2.60498
K122110,1222.8,213.600001,13.8,425.44675,1450.200001,1.623964
K122140,1410.599999,261.9,14.400001,469.09942,1686.9,2.416762
K122230,984.600001,72.9,51.600001,294.348309,1109.100002,2.814975
K122290,649.200001,373.200001,84,204.947408,1106.400002,3.107865
K122410,1713,425.699999,73.2,350.629062,2211.899999,1.89213
K122520,1047,207.9,63,203.802513,1317.9,2.349198
K122630,1123.8,112.8,42,316.810518,1278.6,2.444742
K122770,2376,429.6,28,511.391856,2833.6,2.440655
K122860,1002.6,222.300001,25.2,389.15357,1250.100001,1.806503
K123020,1170,177.600001,105.600001,220.964499,1453.200002,1.990685
K123060,1486.199999,260.7,40.5,503.544733,1787.399999,2.174453
K123170,1625.399999,105.900001,63,262.330746,1794.3,1.958843
K123300,999,93.9,32.4,267.345895,1125.3,1.991681
K123410,2442,232.800001,57,527.409366,2731.800001,2.848592
K123630,1065,749.399999,92.399999,493.071844,1906.799998,2.015645
K123650,1793.399999,101.1,55.199999,637.254408,1949.699998,2.446299
K123780,994.799999,768.6,113.4,426.624757,1876.799999,2.58869
K124030,811.200001,330.899999,68,192.262677,1210.1,2.937136
K124210,1144.2,644.100001,37.2,334.253858,1825.500001,2.041946
K124240,1724.4,436.8,100.8,651.78215,2262,1.877178
K124250,925.8,118.8,102,355.306031,1146.6,2.852239
K124340,1162.200001,30.299999,33,254.754174,1225.5,2.441235
K124380,1083.6,64.200001,46,205.567353,1193.800001,1.969967
K124400,821.4,143.099999,43.200001,267.193539,1007.7,2.121474
K124530,1459.2,238.2,115,384.64325,1812.4,1.85317
K124590,988.200001,351,25.2,371.310212,1364.400001,2.467269
K124670,1344.6,657.6,102.6,688.436677,2104.8,1.823917
K124680,1215,148.200001,44.4,184.75682,1407.600001,1.695904
K124960,1231.799999,603.900001,29.4,191.44231,1865.1,2.763111
K125020,1422,375,13.2,354.970347,1810.2,2.218382
K125040,1366.199999,286.800001,31.800001,215.491098,1684.800001,2.950613
K125060,1354.2,81.6,31.2,374.203865,1467,1.883184
K125120,1174.800001,162.899999,142.800001,319.229001,1480.500001,1.855263
K125150,832.2,598.2,62.5,240.607863,1492.9,2.211704
K125270,1344.599999,318.9,87,351.091342,1750.499999,2.566716
K125320,886.8,156,64.8,254.685466,1107.6,3.059669
K125410,1201.2,580.500001,25,201.296296,1806.700001,2.081452
K125490,1375.799998,310.500001,9.6,291.6517,1695.899999,2.637481
K125640,947.4,158.7,43.8,194.88115,1149.9,2.555333
K125820,807.600001,391.8,80.399999,186.581038,1279.8,2.638763
K125850,1125.600001,442.500001,54.600001,445.525712,1622.700003,2.285493
K125910,1042.2,213,49.8,304.452872,1305,2.334526
K126200,693,391.799999,32,316.704354,1116.799999,3.237101
K126220,807.599999,267.9,44.4,359.856096,1119.899999,3.612581
K126320,679.200001,518.099999,24.6,345.204744,1221.9,3.658383
K126480,1323,293.099999,145.799999,205.851455,1761.899998,2.471108
K126680,826.199999,450.6,70.800001,267.324242,1347.6,3.048869
K126700,2371.2,186.9,24.6,573.273601,2582.7,2.544532
K126790,904.2,470.7,99,314.391817,1473.9,3.239341
K126830,1108.800001,578.100001,111.6,513.590425,1798.500002,2.436992
K126870,997.8,306.9,28.8,284.752816,1333.5,2.525568
K126910,1369.799999,178.200001,67.200001,294.608989,1615.200001,2.905036
K126920,1349.4,140.7,40.8,241.258663,1530.9,1.894678
K126940,675,476.100001,74.399999,361.834245,1225.5,2.329848
K127050,1530.600001,195.9,43,376.446748,1769.500001,2.524251
K127080,2424,576.6,7.5,469.206947,3008.1,2.69543
K127200,1426.199999,876.3,81,265.081541,2383.499999,1.844814
K127330,1116.600002,255,41.399998,423.954335,1413,2.279032
K127410,923.4,807.300001,72.6,481.635802,1803.300001,2.648018
K127500,799.799999,274.500001,54,328.033761,1128.3,2.45817
K127710,609.6,432,14,343.160042,1055.6,2.741818
K127950,669,325.5,90.5,246.658609,1085,2.672414
K128040,1297.800001,720.600001,15.6,282.29874,2034.000002,2.517327
K128050,1145.4,134.7,48,422.691036,1328.1,2.61437
K128160,1470,663.899999,15,444.631314,2148.899999,3.246073
K128250,1754.400001,240.599999,43.799999,543.549465,2038.799999,2.871549
K128280,1200,169.200001,31.499999,452.737257,1400.7,1.623059
K128360,938.4,97.8,110.4,293.180305,1146.6,2.796585
K128370,1007.4,636.6,67.199999,415.004254,1711.199999,2.814474
K128420,1471.2,363.900001,66.6,239.402829,1901.700001,2.498949
K128460,2442,872.7,108.6,441.401222,3423.3,1.765498
K128470,1313.4,74.7,99.500002,451.386062,1487.600002,2.661181
K128680,2846.399999,159.9,34.8,531.627752,3041.099999,2.012641
K128740,979.800001,90.300001,22.800001,232.010526,1092.900003,2.9144
K128750,783,226.8,22,230.886298,1031.8,1.935835
K128800,1165.799999,101.400001,57,395.617622,1324.2,2.805508
K128900,863.399999,240.600001,18.600001,356.789612,1122.600001,3.301765
K128920,1559.400001,228.599999,25,551.857018,1813,1.661778
K128980,838.800001,206.100001,12.499999,328.229326,1057.400001,2.488
K129020,887.399999,523.5,55.8,248.541548,1466.699999,2.160088
K129040,1188.600001,286.500002,87,238.875873,1562.100003,1.882048
K129110,1122.6,321,63,429.657135,1506.6,2.286191
K129190,962.399999,788.7,38.399999,353.542086,1789.499998,2.047483
K129250,1147.8,805.8,16.8,535.771166,1970.4,2.526154
K129270,1048.2,862.2,12,186.656492,1922.4,2.421159
K129400,1473.6,55.199999,97.5,485.774177,1626.299999,1.978467
K129440,1621.8,270.600001,98.399999,507.334117,1990.8,1.923478
K129490,1174.8,533.700001,31.8,271.594511,1740.300001,2.60524
K129500,736.8,397.2,123.6,350.123024,1257.6,2.800891
K129520,850.2,259.500001,42,337.817823,1151.700001,3.217039
K129630,1224,114.6,5.5,243.590937,1344.1,1.945152
K129690,1857,224.1,111,195.534892,2192.1,2.073888
K129880,1203,62.400001,66,265.625819,1331.400001,2.070607
K129910,1216.2,301.8,25.2,377.959431,1543.2,2.437915
K129930,1150.8,226.2,29.4,419.821152,1406.4,1.70887
K129950,1321.2,207.6,38.4,233.373954,1567.2,2.678974
K130110,1083.6,514.200001,74.5,533.954978,1672.300001,2.309807
K130160,1074.599999,73.799999,14.5,243.626609,1162.899998,1.984471
K130210,855.600001,201.9,70,245.816816,1127.500001,1.770016
K130370,1177.2,610.2,46.2,214.505516,1833.6,3.113073
K130390,998.4,439.800001,34.199999,227.516738,1472.4,2.681967
K130500,1428,575.1,3.6,360.682746,2006.7,2.363604
K130520,927.6,83.4,33.6,334.650092,1044.6,2.101811
K130630,1684.799999,193.200001,100.5,463.949705,1978.5,2.186188
K130830,658.799999,362.100001,82.799999,342.412423,1103.699999,1.932925
K130860,2206.8,384.299999,100.5,713.819024,2691.599999,2.022239
K130940,1366.799999,513.900001,19.200001,417.333402,1899.900001,2.144357
K130950,743.4,261.300001,61.8,350.129799,1066.500001,2.734615
K131020,1620,491.1,90,437.320758,2201.1,2.532911
K131120,1542.599999,289.500001,66,242.103523,1898.1,1.99171
K131230,1159.199999,198,34.800001,352.899495,1392,1.914718
K131450,1561.8,168.900001,44,387.973457,1774.700001,2.000789
K131520,1066.2,164.7,34.2,376.074884,1265.1,1.979812
K131740,1243.199999,300,40,200.263905,1583.199999,2.024552
K131830,1034.399999,325.8,14,424.810106,1374.199999,2.476036
K132090,696.600001,449.7,61.799999,278.913869,1208.1,2.112063
K132200,841.800001,361.5,22.199999,388.666426,1225.5,3.829687
K132280,1112.4,480.6,52.799999,262.167246,1645.799999,4.331053
K132330,1472.400001,110.099999,4.5,444.131397,1587,4.898148
K132420,662.4,375.6,13.8,294.055599,1051.8,6.413415
K132460,1740.6,176.4,23,603.468654,1940,4.263736
K132540,1270.800001,87,44.4,416.887353,1402.200001,4.86875
K132560,803.400001,502.2,9,328.735928,1314.600001,2.508779
K132620,671.400001,342,32,317.913647,1045.400001,4.486695
K132640,1385.4,455.700001,38,332.467711,1879.100001,7.732922
K132680,1382.400001,516.3,26.500001,215.585365,1925.200002,4.70709
K132870,1342.799999,229.499999,90.599999,438.76109,1662.899997,4.792219
K132960,1971,139.500001,23.5,536.498424,2134.000001,2.923288
K133010,2056.200001,105,67.200001,700.20467,2228.400002,3.197131
K133060,913.8,585,46,344.6371,1544.8,5.183893
K133110,1188.600001,496.2,47.399999,180.610062,1732.2,4.798338
K133130,680.4,450,137,324.680984,1267.4,3.098778
K133270,1333.8,427.8,9.5,488.499777,1771.1,4.761022
K133280,2507.399999,112.200001,44.499999,869.38672,2664.099999,3.634516
K133290,1537.8,633.6,75,239.766369,2246.4,4.230508
K133300,827.4,471.9,26,433.465387,1325.3,2.998416
K133320,757.200001,621,42.599999,307.172263,1420.8,3.399043
K133380,895.8,563.100001,39,216.024328,1497.900001,9.919868
K133450,715.2,411.6,43.8,302.181476,1170.6,3.692744
K133510,848.399999,320.1,167.399999,335.811673,1335.899998,4.911397
K133580,945,503.7,52.5,416.506375,1501.2,6.731839
K133620,1801.8,364.8,53.4,669.550835,2220,4.805195
K133780,996,130.2,26,283.902054,1152.2,7.112346
K133840,1470.600001,209.1,49.2,208.507968,1728.900001,3.416798
K133850,1359,72.900001,101.4,454.505273,1533.300001,3.399778
K133890,972.6,205.2,41,337.23419,1218.8,5.916505
K133930,634.8,548.700001,13.5,319.520862,1197.000001,2.590909
K133980,786.599999,363,37.8,372.720464,1187.399999,3.598182
K134510,1002.6,433.500001,34,368.879562,1470.100001,8.033333
K134560,1158.599999,113.1,61.2,300.276535,1332.899999,4.628125
K134810,1596,604.8,39,453.242733,2239.8,8.234559
K134890,938.4,157.799999,30.6,207.125971,1126.799999,6.667456
K134940,632.400001,375.599999,63,226.024142,1071,6.12
K135030,615.6,519,93,269.457687,1227.6,3.023645
K135060,1970.4,229.2,50.4,187.465937,2250,5.829016
K135150,1730.4,303.300001,9.5,572.008026,2043.200001,4.239004
K135190,1335,705.9,34.8,491.969327,2075.7,4.643624
K135260,1207.2,253.500001,13.8,467.205479,1474.500001,5.247331
K135310,636.600001,600,15,364.322648,1251.600001,6.729032
K135330,1003.800001,328.500001,57,217.894371,1389.300002,4.79069
K135430,1069.8,785.7,62.500001,209.331668,1918.000001,2.982893
K135470,1387.2,54.6,73.8,383.364884,1515.6,5.851737
K135620,1909.2,127.8,20.5,455.578155,2057.5,3.175154
K135860,1130.4,66.6,82.800001,231.550729,1279.800001,5.588646
K136170,1027.2,512.399999,42.499999,292.220101,1582.099998,4.838226
K136420,1449.6,321.9,85.799999,438.222358,1857.299999,4.631671
K136630,700.2,370.5,24,224.531935,1094.7,6.972611
K136670,1510.200001,255.6,85.499999,605.745789,1851.3,4.407857
K136740,1114.200001,112.200001,144,210.66507,1370.400002,5.190909
K136790,1473.6,179.699999,97.800001,280.863532,1751.1,3.393605
K137000,882.6,604.5,40,456.219679,1527.1,3.679759
K137040,682.199999,549.600001,84.600001,374.341409,1316.400001,5.005323
K137150,1381.199999,298.5,46.199999,239.902336,1725.899998,5.106213
K137160,1055.4,156.900001,45.5,252.348068,1257.800001,7.62303
K137180,1034.4,18.9,22.200001,239.137345,1075.500001,3.090517
K137190,1420.200001,35.100001,3,263.479345,1458.300002,3.952033
K137270,1030.2,298.5,38.400001,288.498823,1367.100001,6.242466
K137490,2327.400001,8.4,61.200001,466.924977,2397.000002,6.695531
K137550,2400,267.900001,94,305.412715,2761.900001,5.730083
K137850,1638,321.9,55.799999,318.3495,2015.699999,5.462602
K137950,770.399999,424.499999,139.8,285.31794,1334.699998,3.475781
K138170,949.199999,404.100001,18,285.698033,1371.3,3.226588
K138300,1236.6,30.3,33,388.435922,1299.9,6.951337
K138340,1768.200001,51.600001,132,315.314551,1951.800002,3.073701
K138480,1304.4,376.5,120,205.910028,1800.9,4.197902
K138500,968.4,475.2,63.5,380.622516,1507.1,2.735209
K138810,2436,148.2,82.8,333.086462,2667,3.735294
K138870,1624.8,520.8,20.4,277.365267,2166,6.747664
K138980,1132.800001,153.9,40.2,277.810752,1326.900001,14.908989
K139330,1133.400001,112.8,19.2,205.611173,1265.400001,7.622892
K139360,1864.200001,165.599999,126,460.561699,2155.8,3.933942
K139520,1503.600001,300,14,399.639734,1817.600001,4.589899
K139660,935.4,355.2,19.8,367.013578,1310.4,4.534256
K139770,778.2,319.499999,74.400001,246.805017,1172.1,3.89402
K139980,1214.4,372,14.499999,421.06401,1600.899999,19.523171
K140070,1213.199999,111.6,10.800001,407.806571,1335.6,7.720231
K140090,658.199999,469.8,11.4,180.410274,1139.399999,5.754545
K140250,1090.800001,735,15,524.705844,1840.800001,6.817778
K140350,699.600001,539.7,30,213.327003,1269.300001,8.40596
K140380,2143.2,493.500001,20,769.045206,2656.700001,6.280615
K140420,1557.599999,329.1,33.599999,483.992036,1920.299998,7.560236
K140440,1260.599999,341.400001,44.400001,344.32255,1646.400001,3.540645
K140490,1311.600001,293.7,51.600001,186.208216,1656.900002,3.525319
K140670,967.200001,330.299999,40.200001,222.788471,1337.700001,5.245882
K140720,1179.6,147.900001,27,298.362863,1354.500001,5.993363
K140740,1606.8,221.7,52.8,423.953053,1881.3,7.904622
K140830,759.599999,333.9,104.400001,243.732637,1197.9,2.921707
K140980,1200,140.1,3.6,278.35098,1343.7,3.701653
K141020,1609.199999,54.600001,141,494.796217,1804.8,4.534673
K141040,975.599999,735.300001,45,188.793064,1755.9,10.974375
K141110,1416.6,257.099999,12,533.243391,1685.699999,3.087363
K141130,1197,126.900002,42,445.217482,1365.900002,3.76281
K141140,1505.4,93,7.2,513.839532,1605.6,3.624379
K141150,852.600001,154.200001,42,237.742511,1048.800002,4.212048
K141370,798.6,273,87,273.98537,1158.6,4.972532
K141420,816.600001,621.9,9,277.98625,1447.500001,3.139913
K141580,1039.2,258.3,40.2,249.96199,1337.7,4.794624
K141680,1641.6,349.200001,34.799999,198.981757,2025.6,3.261836
K141870,1190.399999,425.399999,13.2,457.26298,1628.999998,4.42663
K141930,819,145.8,38.4,326.479189,1003.2,6.778378
K142030,2041.8,192.3,68.399999,210.530657,2302.499999,8.252688
K142170,1417.2,283.500001,8,195.316502,1708.700001,4.14733
K142400,817.8,193.2,33.599999,205.88187,1044.599999,5.526984
