标题,时间,来源,内容
中粮万科长阳半岛紫云庭 品质铸就生活,2014/12/31 16:11,搜房网,生活要拼更要品。随着生活阅历的不断增长，财富的不断积累，人们对于生活的各个方面都开始有所要求。对于成功人士来说，居所的品质，尤为重要。不求过分华丽，不求高调奢华，但求品位与考究。中粮万科长阳半岛紫云庭，将细节融入居所，让精致生活如影随行。中粮万科长阳半岛紫云庭距城铁房山线长阳站仅200米，距与9号线换乘站郭公庄仅3站地。 数条高速纵横穿行，区域主干道交错合围， 距京港澳高速出口仅3公里，距西南五环约7公里，多维交通路网，畅达出行，门前静候。中粮万科长阳半岛紫云庭165㎡轩阔三居，使一家三代能够欢聚一堂，尽享家人团聚的欢乐时光。在户型设计上，中粮万科长阳半岛紫云庭传承了万科u8户型经典设计，卧室、客厅、阳台、书房全朝南，让阳光在房屋内起舞；南向景观阳台拥有超大广角，不仅增加了居家活动范围，也保证了远景视界，站在窗前，约6000平米国风园林尽收眼底；U型厨房空间设计，使得洗、切、炒等烹饪流程顺畅自如，让一家人共同畅享烹饪时光。居住空间之外，中粮万科长阳半岛紫云庭更拥有得天独厚的周边配套：咫尺小清河生态景观带、万亩滨河森林公园、长阳体育公园，尽享绿色健康的有氧生活；坐拥中粮万科FUNMIX半岛广场、首创奥特莱斯购物中心、铺满街等成熟商业配套，购物、餐饮、休闲、娱乐等一站式购物；万科标配第五食堂、幸福街市等&ldquo;五菜一汤&rdquo;社区配套，畅享家门口的快捷便利；更拥有北京四幼、红黄蓝幼儿园、北京小学、北京四中房山校区等全龄金牌教育体系，优质教育资源陪伴成长，让孩子赢在人生的起跑线上。中粮万科长阳半岛紫云庭作为中粮万科长阳半岛项目的高端产品之一，拥有高品质的装修、户型设计、低密优美的园林空间，可谓区域内高端大宅之典范。置业热线：010-80358888万科项目信息网络查询地址http://bj.vanke.com搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
中粮万科长阳半岛VMO祥云墅 把精力花在享受上,2014/12/31 16:12,搜房网,幸福生活就是要有点钱，不需太多；有点权利，不需太大；但却要有大把的闲暇，可以徜徉时光，享受生活。中粮万科长阳半岛VMO祥云墅，西五环88席定制级城市院子，从学校到公园，从写字楼到购物中心，从社区商业到养老服务，从第五食堂到幸福街市等，一应俱全，生活于其间，只需把精力花在享受上，静待光阴流转。由中粮集团和万科集团两大知名房企联手打造的中粮万科长阳半岛VMO祥云墅，位于房山CSD核心区，约210-230㎡低密城市联排，独特的&ldquo;一庭一院一露台&rdquo;布局设计，领略人生豁达境界。其中，&ldquo;一庭&rdquo;即室内中庭空间，悉心营造一种内外空间既隔离又融合的特有形式，既不拒绝阳光清风又确保空间私密；&ldquo;一院&rdquo;指户外的花园小院，流连其间，仰观云卷云舒，静闻鸟语花香，鲜氧自由流淌；&ldquo;一露台&rdquo;即附送的超大露台，可随时凭栏陶冶烟波水景，饱揽城市繁盛，细味生活的姿色万千。作为西五环的三层庭院式联排别墅，中粮万科长阳半岛VMO祥云墅扼踞京港澳、京石高速、京良路、长阳大街等城市干道，紧邻城铁房山线长阳站，无缝接驳地铁9号线，高效串联西单、丽泽商圈、总部基地、中关村等城市核心区，全享城央繁华；毗邻华北最大的奥特莱斯购物中心、中粮万科FUNMIX半岛广场，拥有商务、休闲、购物、餐饮等多元配套形态，满足一站式品质生活；毗邻小清河生态景观带、万亩滨河森林公园以及长阳体育公园，离尘不离城，繁华与宁静自由切换。此外，更有第五食堂、华润超市、橡树汇长者服务中心等小区私享配套，便利生活就在家门口，可谓真正宜居的&ldquo;一生之城&rdquo;。中粮万科长阳半岛VMO祥云墅，庭观天下，院藏非凡，觐献层峰人士。置业热线：010-80358888万科项目信息网络查询地址http://bj.vanke.com搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
北京土地一年成交1916亿 楼面单价上涨51.4%,2014/12/31 16:13,北京晚报, 昨天，随着今年最后一宗土地以底价成交，至此，北京2014年土地总出让金达到了1916.9亿元，同比2013年增长5.2%，再度创下历史新高。昨天下午3点，北京土地整备中心官网公布了2014年北京最后一宗土地出让结果，该地块是丰台区樊家村危改项目3号地零售商业用地，邻近地铁10号线首经贸站，建筑控制规模约45000平方米，为零售商业用地，被北京龙湖以5.5亿元底价摘得，折合楼面单价12147元。据了解，今年年初，龙湖曾在丰台西局斥资35.7亿元拿地，纯商品房楼面单价接近6万元。今年北京经营性用地与工业用地合计出让141宗，土地出让金总额达到1916.9亿元，同比去年上涨5%。其中出让52宗居住类用地，规划建筑面积合计900.7万平方米，出让金合计1311.2亿元，整体平均楼面单价折合14557元，与2013年的9616元相比，上涨约51.4%。“今年的土地价格影响的是明年的商品房价格，但明年如果北京楼市政策不进一步放开，北京是否有足够多的中高端置业需求，消化今年出让的高价地还是未知数。”亚豪机构市场总监郭毅分析说，因此，只有北京房地产调控政策适度放松，释放中高端置业需求，才能让市场交易活跃起来。(记者李海霞)
百合双旦嘉年华缤纷欢城享乐佳,2014/12/31 16:21,搜房网,"2014年12月28日蓝阔广袤，万里云飘。百合公馆草莓主题营销中心启动仪式盛大开幕！ 百合公馆全体工作人员在营销中心领导的带领下早在一个月前就开始紧张的安排和准备工作，为了这次活动的成功举办和顺利进行，百合工作全体人员精心的准备着每一个环节，优质着每一个细节。让大家感受全新的百合，印象百合。自然溢出非凡格调。百合公馆坐落于廊坊市永清工业园区内，对坐百合大道，南临廊霸路，北临六玮道，东侧是自然形成的百亩树林.全永清森林覆盖率达43%，百合公馆新城区域森林覆盖率达80%，纯天然的万亩森林公园，随时随地的天然&ldquo;氧&rdquo;生堂。在当今纷乱拥堵的钢铁城市中，忙碌一整天后寻觅一丝安宁和静美。360&deg;拥林生活，科教文卫，配套齐全。让生活跟优质，让人生跟美好。2000㎡全功能会所配备，40%超高绿化。出门可乘公交828，百合项目紧邻河北省著名高中学府永清一中本科升学率达95%,一本升学率达85%,百合项目自投资引进北大资源名校，与美国玛赫西大学合作办学。直面万亩城市综合体，自建5万㎡时尚商业区，步行逛个够，项目集团公司引进知国内外医疗资源，自建益田医院，健康百合居民。9点30分，在欢快的气氛下和紧张的组织准备中，营销中心的工作人员开始在外场的暖棚中迎接着来自益田集团及各子公司的领导和工作人员、来自北京和廊坊一直关注百合的新老客户，更有一批客户自发组织骑行队从廊坊开发区骑车到百合活动现场，在寒冷的冬季这是多么热情的对百合的支持！他们的热情和汗水挥一路挥洒在京台高速第一出口廊坊永清段！骑行生活，国人福利！2014年12月26日1：30，连接京津，沟通华北及东南沿海的高速公路---京台高速公路（廊坊永清段）正式通车！京台高速公路网7条首都放射线&ldquo;G3&rdquo;的重要组成部分，廊坊段全长53公里，京台高速公路（廊坊段）的通车将进一步推动实现京津冀的协同发展。为充分发挥高速公路对地方经济的拉动作用，全线共设廊坊空港，永清北，永清等收费站5处，百合公馆紧邻京台高速第三出口，500米上京台高速，30分钟直达南三环刘家窑。项目无缝对北京快轨，15分钟直达首都新机场，新机场位于大兴榆垡，机场一期总面积29.4平方公里，总投资840亿元，年吞吐旅客7200万人次，共有4条民用跑道；二期建成后总占地达到65.3平方公里，跑道增加到6条，年吞吐旅客将达到1.3亿人次，将成为世界最大的国际机场。京台高速开通后，从我们项目开车到首都二机场只需15分钟，百合公馆位于首都第二机场的空港经济区内，是出新空港上京台高速南向第一站，也就是新空港带来的各方面的利益我们都可以在第一时间享受到。进京出海，环游世界不是梦。10点半起，百合营销中心开放启动仪式正式开始，激情昂扬的音乐中廊坊电视台著名节目主持人蒋方旭，带有磁性亲和的嗓音宣告着百合项目的文化和发展史，从尚城到公馆短短的词汇变换，不仅仅是一个新名称，更是百合新时代的起航和拓展，从升级到升华凝聚着益田地产和集团营销策划的辛劳与智慧，更是益田集团上下全体兄弟姐妹们兢兢业业的付出。今天是百合发展长征路上新的里程碑，更是百合人任重道远的开始，绽放百合，放飞梦想。激情的摇滚，唱出人们心中的欢愉和兴奋，劲爆的舞蹈，在寒冷的空气里热情的扭动，让本来冷冰的气温瞬间热闹起来。神奇的魔术，变幻莫测中互动娱乐了现场所有嘉宾的注意力和好奇心，场外的暖棚里秀色可餐的礼仪模特们给在场的嘉宾发放着精美的礼品，和热滚滚的奶茶，让他们在观看台上的精彩绝伦的节目表演同时，暖手温心。这是百合，这是承诺。这是非凡，永清唯一的格调。百合项目整体占地约20万平米 ，规划建面50万平米，其中住宅部分约46万平米，商业配套约4万平米。小区总共有46栋楼，3800户，是目前永清最大、设施及配套最齐全的小区。在您入住之后4万平米风情商业街将会陆续开放，超市、药店、干洗店、银行、餐厅等社区商业配套设施齐全，让您不出小区就能解决各种日常所需。在售#8、#10号楼。8号楼位于小区的中轴线上面，楼间距达到60多米，充分的保证了景观效果和采光效果。10号楼位于小区的最东侧，小区外面就是天然形成的几百亩树林，不仅为小区的业主提供了一道美丽的风景而且还能呼吸大量的负氧离子。这两栋楼都是11层的小高层，主要户型是80多平米的纯南向和102平米的小三居精致通透户型，即买即升值，为了让嘉宾们进一步了解和感受，新会所里百合公馆为到场嘉宾们准备了丰富的暖餐热饮，让客户和同仁们在了解百合的同时尽享午餐的美味和优质服务。百合公馆还为小朋友们准备了儿童乐园区，让那些以家庭为单位的客户在百合现场热闹的氛围里，与孩子过一个愉快充实的周末。在阳光明媚的中午，集团的班车在海泽田工作人员的指引和带领下前往了客户期待已久的永清草莓圣地，海泽田里丹艳艳 青草新莓味美特。海泽田生物科技种植园与百合项目同属廊坊益田集团公司，位于百合项目西部，开车十分钟即到，骑行20分钟即达。海泽田采摘节的开放为百合公馆的住户带来了温暖的福音，海泽田为百合住户制定了专属的优惠项目，定向的VIP服务让凡是入住在百合项目的住户都能享受这份惠泽与采摘的意义，海泽田首届草莓采摘节在枯燥萧条的冬季为我们增添了一份色彩与欢乐，在汗水与欢笑中，在香甜与温馨中，在亲人与朋友一起玩耍中，这草莓，让客户们感受唯一的百合，不一样的周末。百合双旦嘉年华 缤纷欢城享乐佳。客户在吃喝享乐中，印象了百合，感受了品质，不是所有项目都是百合公馆，百合你值得拥有。百合项目结合实际情况，冷静分析市场大势结合区域小向，最终选定在14年底启用新售楼中心，以草莓主题暖场暖人心，继6月开盘切入市场后又一次跨步向前，为15年销售工作打下了坚实的基础和红火的开端。&ldquo;雄关漫道真如铁，而今迈步从头越。&rdquo;百合在一步一个脚印前进！前进！搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。"
新航城价值凸显 格林云墅凭稀缺性傲领南城,2014/12/31 16:28,搜房网,作为国家的重点工程，北京新机场的建设已经正式开工，配合着南城计划的同步作用，南城发展即将迎来新一轮的革新，未来格局也有望被重新定义，在新产业链及区域发展的新方向共同作用下，将会带动南城居住模式和居住品质等多方面的提升。在此情况下，以格林云墅为例的高端别墅类型项目，将会以其区域交通优势及产品本身的稀缺性，得到更多消费者的关注。【新机场工程正式开工 南城楼市&ldquo;闻风而动&rdquo;】12月26日，北京新机场工程正式开工。随着新机场工程的破土，空港辐射区内，以大兴区内为例的各楼盘开始&ldquo;闻风而动&rdquo;。对此，分析人士称，由于新机场工程已正式开始，区域内经济及文化等发展将受利好。接下来楼市将会有不同程度的回温，大环境下，品质突出及性价比更高的楼盘将会得到更多购房者的关注及支持。【格林云墅以稀缺性得购房者青睐】作为南城高端项目的标杆领导者，格林云墅一直以其稀缺价值得到众多业内人士及购房者的肯定。从品牌方面讲，2014年众多地产品牌价值排行榜上，金地集团也跻身为中国地产项目品牌前15名；从产品品质来讲，此次格林云墅推出的叠墅产品，不仅坐拥金地集团多年的筑房经验，还包含中国电建地产的高端项目品牌优势。现阶段整个北京市场，别墅社区多以高端奢华楼盘为主，总价高且地区大都交通不便利。反观格林云墅，墅区有着绝佳的地理区位，地处南中轴及南五环交叉位置，且紧挨新机场线磁各庄站，直线距离抵达城市中心，无疑已成为真正意义上城市型别墅。地域优势方面，格林云墅与机场仅十六公里，位于空港经济辐射圈之内，无论是经济还是商业圈都将直接受益于机场的逐渐完工。对于产品自身，格林云墅的叠墅200平米的购房即得到300平米住房面积，超高性价比也为购房者带来了更多的惊喜。格林云墅品质生活墅质空间，不仅成功作为南五环高端居住体验的标杆，也将开启北京城市别墅生活新纪元，成为集万千宠爱于一身的稀缺品！现阶段格林云墅叠墅产品首付仅需180万起，伴随央行贷款利率降低，购房优惠已趋于近年最大，绝佳时机格林云墅诚邀您的光临！搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
节前就“偷跑”？想买房千万别等年后,2014/12/31 16:31,搜房网,眼看年关将至，又到年度行业盘点之时。回首2014年楼市，&ldquo;调整&rdquo;是主旋律，虽然年末回暖势头强劲，但仍不能抹去人们对于未来变局的疑虑。然而，随着12月30日丰台区樊家村危改3号地成为年度收官地块，北京土地市场交出的&ldquo;成绩单&rdquo;却让众人大跌眼镜。据统计，北京今年的土地出让金达到惊人的1916.9亿元，同比2013年增长5.2%，再度创下历史新高。尽管市场短暂遇冷、唱衰之声不绝，今年北京土地市场却仍然是高温状态，特别是1-4月土地出让金即破千亿元。全年，龙湖西局地块、泰禾西局地块、西城华嘉胡同地块、石景山刘娘府地块等高总价、高单价地块层出不穷。52宗宅地整体平均楼面价折合14557元/平方米，这一平均楼面价较2013年的9616元/平方米，上涨约51.4%！市场走向如何，众多购房者心中都有了自己的判断。为了避免春节空档期&ldquo;夜长梦多&rdquo;，多数购房者都希望&ldquo;年前把房子的事儿定了&rdquo;。特别是对于一些抢手的楼盘来说，能否抢到一套心仪的房源，&ldquo;先下手&rdquo;就显得至关紧要了。反观开发商方面，同样没有人愿意押宝&ldquo;走势&rdquo;，迎合购房者需求趁热放量才是正题。据统计，12月份北京新开楼盘或超过30个。在众人瞩目的北五环TBD区域多个楼盘入市并收获不错的市场反响之后，一直按兵不动的领秀&bull;慧谷也终于要有大动作了。历经两年精雕细琢的领秀&bull;慧谷，在2014年金秋携4大升级&ldquo;领秀归来&rdquo;。首先是空间升级，70-140㎡多样户型，南北通透双厅设计，功能丰富、布局合理、利用率高，相对于前期产品，最大的升级之处在于70㎡户型由一居跃升为两居设计。为了给业主更多享受自然、修养身心的空间，领秀&bull;慧谷D区以1.5超低容积率，实现10000㎡学院派园林规划，11座全南向9-13层阳光板楼，全部拥有半围合庭院式私属景观组团，&ldquo;住高楼也能有独门独院&rdquo;。1:1超高车位比、全面人车分流、专属入户电梯，极大缓解传统社区&ldquo;停车难、电梯挤&rdquo;的不足，让业主的归家之路不再&ldquo;添堵&rdquo;。分户太阳能系统供应24小时热水，新一代墙体保温技术、三玻中空窗体，不但节省生活成本，更是绿色低碳生活的典范之作。作为TBD核心商务区唯一的配套住宅，沉寂两年的领秀&bull;慧谷甫一入市，就凭借绝版区域、双轨交通、醇熟配套、品质升级等稀缺价值迅速掀起了一股抢购热潮。在该项目启动排卡不到一个月时间里，办卡数量就已逼近千组大关。据透露，慧谷将在1月中启动电商排卡，届时开发商将推出更大力度的优惠，无论之前微信排卡有没有排到、5000元排卡礼有没有抢到，这次都有机会&ldquo;截胡&rdquo;，关注慧谷的人们可不要错过了。搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
央企国企成主力 孙河区域规格再升级,2014/12/31 16:33,搜房网,物以类聚，人以群分，这是中国的老话。从古至今，事物皆依气质、形态而分门别类，又联系比较，大到疆土、小到家宅。而这也恰好是地产行业，特别是高端别墅产品，一直以来所适用的一大准则，在以地脉、文脉为城市演变依据的北京，尤为明显。西山别墅区、奥北别墅区、中央别墅区，是北京公认的高端住宅聚集地，国际人群扎堆之所在。同时，在环境、交通、配套、价值等诸多因素日臻成熟的情况下，也都经历着饱和、外溢的变迁过程。新晋高端板块以后浪推前浪之势，成为开发企业追逐的热点，其中表现最为突出的则是高端品牌扎堆的孙河别墅区。个中原因如何，让我们从开发企业背景开始来一一解答。目前，孙河别墅区已经聚集龙湖、泰禾和即将入市的首开、中粮四大开发商。龙湖的原著系已成为经典，在业主和业界的口碑相传之中，需在后续开发中刷新改写；泰禾北京院子，以明星代言的院子系的强大声势，但尚需一定时日去检验其新中式院落的独特性，从区域形态来讲，龙湖、泰禾奠定了孙河高端别墅区的基调。以传统京派国企首开、豪气央企中粮来说，孙河是高端之路一个全新的起点。特别是首开，将全新樾系产品的研发与实践押注孙河。从目前的市场预测来看，首开&bull;琅樾在性价比上，显然对高端置业群体更具吸引力，在享有私属公园环境和无可挑剔的产品品质之外，在别墅生活功能的考量上融入了更多心思，比如地下空间的采光、大尺度南向院落，以及一些绿色建筑指标的实施，让住宅的核心功能充分发挥其价值。据相关人士透露，首开&bull;琅樾实景示范区将不日开放，北京2015年上半年的别墅市场走向如何，央企国企的同台角逐，让我们有了期待的理由。搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
孙河之役 顶级别墅再起风云,2014/12/31 16:34,搜房网,孙河板块是近年北京楼市的一个缩影，也是北京土地开发演变的一个时代样本。伴随中央别墅区的四次外溢，孙河成就一个又一个地王，四家品牌开发企业亦相继献上顶级产品。在房地产市场略显低迷的今年，孙河板块却可谓若火如荼，其中龙湖和泰禾两个项目今年销售额就达到了40亿元，毋庸置疑的成为北京楼市热销区域。与其说是一场巅峰对决，倒不如说共同搭台唱戏历来土地之争即是开发商的实力之争，更是中国城市人居环境发展的市场机制，也在不同程度上促进了开发企业的资源整合与战略发展，开启了中国人居的多元化、品质化发展之路。中央别墅区就是一个鲜活范例，从1991年一个赴港招商引资项目伊始，经历了天竺（外销项目时代）、大湖（本地客群崛起）、后沙峪（自住成为主力）到孙河时代，二十多年蜕变发展，成为北京知名的高端居住区域聚集地。孙河板块，隶属朝阳行政版图，从该区域第一块土地入市开始，就受到开发商的追捧，板块不断升温，此前的龙湖、泰禾作为别墅专家已为区域树立高端形象，后起之秀首开、中粮则作为国字背景的开发企业为区域再加砝码，虽说区域内的竞争是最为激烈的，但是，共同将区域推向一个规模化的高度才是面对大市场竞争的正题。城市第一居所别墅区，其他板块实难超越中央别墅区是北京最早开始建设、也是最具潜质的&ldquo;高收入群体聚集区&rdquo;，是北京别墅开发数量最多的区域，&ldquo;千万级&rdquo;别墅大都集中在此。而孙河板块因其更近城市中心，当之无愧的成为城市别墅&ldquo;第一居所&rdquo;聚集地，又因同时满足国际化高端人群所必备的环境、位置、交通三大因素，其稀缺性在北京市场上毋庸置疑。而新晋别墅项目则以更优越的先天素养再造区域市场新高度。从地块数据信息分析来看，首开&bull;琅樾项目所处的G、F地块面积最大，而两地块西侧的7万平米代征绿地，同时也做为首开&bull;琅樾的私属公园来开发营造，这是区域内其他项目所不具备的，其公园概念的引入也为区域内丰富的生活元素增色。据区域现场实景考察，首开、中粮的会所售楼处已然呈现，此外，首开&bull;琅樾的实景示范区也已全貌展现。相关人员透露，本月将具备现场接待条件，快人一步的首开将为区域奉献怎样的开年好礼，我们拭目以待。搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
天降财神&#8226;大湖“妙”会欢乐上演,2014/12/31 16:38,搜房网,2015新年钟声即将敲响，在这个充满祝福的时节，孔雀城天降财神&bull;大湖&ldquo;妙&rdquo;会欢乐上演，元旦假期，亲子家庭运动会、泡泡秀、魔术嘉年华、皮影戏等众多精彩活动即将开始，财神现场派发红包、礼品，元旦假期欢乐享不停！亲子家庭运动会&ldquo;小手拉大手，运动显亲情！&rdquo;孔雀城大湖亲子家庭运动会将于元旦当天开幕！多彩缤纷的运动，大家齐心协力，共同完成每一项比赛。关爱中增进亲情，感受冬日里浓浓的亲情！魔幻泡泡秀1月2日，一场梦幻泡泡秀表演将在孔雀城大湖开启，泡泡时而变幻出各式各样的水彩泡泡，时而变成挥舞着长虹般色彩斑斓的巨型泡泡，一场梦幻泡泡秀，带来不一样的视觉盛宴，领略泡泡的神奇魅力。魔术嘉年华魔术师神奇诡秘的手法，变幻莫测的动作让人眼花缭乱，观众在感叹魔术神奇的同时，也在享受魔术表演带来的诸多乐趣。1月2日，孔雀城大湖携手魔术表演师奉上一场魔幻表演秀。皮影戏皮影戏，是中国民间古老的传统艺术之一。一边用手操纵戏曲人物，一边用当地流行的曲调唱述故事，同时配以打击乐器和弦乐，有浓厚的传统文化气息。1月3日，孔雀城大湖将举办皮影戏表演，在新年之际，领悟优秀传统文化精华，感受优秀传统手工DIY活动现成特设手工儿童DIY专区，在老师的辅导下，小孩可以动手完成捏面人儿、手工折纸、手工小书包、笔筒等制作，享受手工DIY的无穷乐趣。元旦假期，享受快乐温馨的家庭时光，领略神奇的魔法世界，孔雀城天降财神&bull;大湖&ldquo;妙&rdquo;会诚邀您莅临，一起欢乐&ldquo;闹&rdquo;新年！搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
凤河垂钓偷得浮生半日闲,2014/12/31 16:49,搜房网,今年的冬日，大雪迟迟未到，刚过冬至不久，天气又回暖起来，仿佛春天迫不及待的已经要到来了。老公今天本来有个例会，结果他起晚了，想到是例会也无所谓，就干脆跟下面的人打招呼说有事不去了。中午过后，他便趁着暖洋洋的冬日，带上鱼竿鱼粮去凤河垂钓了。春困、秋乏、夏打盹，睡不醒的冬三月。刚支上鱼竿没多久，他就在河边上睡着了，迎着西南方的太阳，脸上扣着一顶软檐遮阳帽。在梦里，他又回到公司开例会了，正当他对最近员工频频迟到的现象大加鞭挞时，旁边的小秘书却不识趣地猛踢他小腿。嘿，别逗了，也不看看场合，他用能杀人的眼神瞪了小秘书一眼。小秘书却毫不理会，反而站了起来，满脸堆笑，卖力地踢得更欢了。他怒不可遏，也一脚踢了回去，然后，就醒了。是鱼上钩了，咬得非常紧，力道十足，看来能有个5、6斤。他就像放风筝一样，松松紧紧从容不迫地扯着这鱼在鱼塘里兜了一个大圈子，能感觉这鱼都绝望了，才把它拽了上来。好一条大草鱼啊，就这样被收进了渔护。晒晒太阳，睡睡觉，顺便钓鱼，一个下午很容易过去，太阳快下山了，他拎着下午的收获，三条小鲫鱼，一条大草鱼，想着扔在床上的手机，心满意足地回家。到家先看手机，39个未电话。一个电话抢着打了进来&mdash;&mdash;小秘书，急着问他去哪儿了。原来有一单合同出了问题，要他赶紧解决。可以用放风筝的方法钓鱼，可在现实里怎么放甲方风筝？立即出发，之后又免不了一番周折。最终的结果是甩一单生意换得半日悠闲。廊坊孔雀城大学里树院 匹配一座城市的繁华配套廊坊孔雀城大学里树院，据守京津冀黄金走廊的核心地带，8公里廊坊市中心生活；紧邻京沪、京津两条高速，35分钟直达地铁10号线；805公交直达北京站东；京沪高铁18分钟直达北京南站，另有地铁将延伸至廊坊市区，无缝链接北京南二环，30分钟瞬间通衢全市，畅享有天有地的城市庭院生活。与此同时，从项目出发，15分钟尊享万达、沃尔玛、乐购等繁华商业；咫尺人民公园、自然公园等五大公园鲜氧生活；出门即享五大高尔夫球场，与世界级大北京休闲商务区梦廊坊顶级配套体系；更有9大学府文风氤氲，匹配一座城的繁华生活。廊坊孔雀城大学里，260-440平米树院，160万起，首付10%！团购8万抵15万！买三层送一层；露台、地下室，超大面积赠送；考究品质，自然和经典融合，独立私家庭院，尊享城市庭院的闲适淡雅，庭院生活超有所值。搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
凤河清晨庭院外的野餐区,2014/12/31 16:51,搜房网,清晨晨练时，沿着大学里树院向前不远便是一片茂密小树林，林间的晨雾甚浓，天还没大亮，空气的颜色像是被稀释的蓝黑钢笔水。安静的连跑步的人都没有，向前走就是凤河，以前一直没有来过这个地方，或者来过，却没有什么印象。透过雾霭，隐约看到河畔有几张圆桌，奇怪，怎么有一张像是摆好了酒馔，餐桌上放着一束鲜花，还铺上了桌布。莫非是《糖果屋》，或是《三只熊》，或者是其他什么陷阱？或者是我多心了，这到底是体验经济的时代，只是有人要在早上体验野餐的感觉而已？可是，主人在哪儿呢？去解手？东西没带齐回家去取？还是在什么地方打电话？我侧耳倾听，静悄悄的，河水上还有薄薄的一层冰，所以也不发出什么声响。我对野餐的主人兴趣顿生，想来能作出这等举动的角色也会比较好客吧。要走过去等等看他是谁，走近观瞧让我大吃一惊。原来，所有桌上的东西都是假的，唯妙唯象的摆设品，甚至连桌布都是用石头雕出来的。哈哈，彻底地上当了。廊坊孔雀城大学里树院 匹配一座城市的繁华配套廊坊孔雀城大学里树院，据守京津冀黄金走廊的核心地带，8公里廊坊市中心生活；紧邻京沪、京津两条高速，35分钟直达地铁10号线；805公交直达北京站东；京沪高铁18分钟直达北京南站，另有地铁将延伸至廊坊市区，无缝链接北京南二环，30分钟瞬间通衢全市，畅享有天有地的城市庭院生活。与此同时，从项目出发，15分钟尊享万达、沃尔玛、乐购等繁华商业；咫尺人民公园、自然公园等五大公园鲜氧生活；出门即享五大高尔夫球场，与世界级大北京休闲商务区梦廊坊顶级配套体系；更有9大学府文风氤氲，匹配一座城的繁华生活。廊坊孔雀城大学里，260-440平米树院，160万起，首付10%！团购8万抵15万！买三层送一层；露台、地下室，超大面积赠送；考究品质，自然和经典融合，独立私家庭院，尊享城市庭院的闲适淡雅，庭院生活超有所值。搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
